Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
/home/kana5123/miniconda3/envs/interp/lib/python3.10/site-packages/transformers/models/auto/modeling_auto.py:2284: FutureWarning: The class `AutoModelForVision2Seq` is deprecated and will be removed in v5.0. Please use `AutoModelForImageTextToText` instead.
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
Expected `transformers==4.40.1` and `tokenizers==0.19.1` but got `transformers==4.57.6` and `tokenizers==0.22.2`; there might be inference-time regressions due to dependency changes. If in doubt, pleaseuse the above versions.
Loading model from registry: ecot-7b (Embodied-CoT/ecot-openvla-7b-bridge)
  Architecture: llama, Auto class: AutoModelForVision2Seq
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:00<00:00, 17.12it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00, 25.47it/s]
  Loaded: 32L x 32H, hidden=4096, dtype=bfloat16
  Layers path: language_model.model.layers
Model loaded successfully.
    Decoded action tokens: ['論', '論', '⥤', 'Έ', 'ರ', '論', '忠']
    Token mapping sanity: gt_token_ids=[31871, 31871, 31899, 31873, 31861, 31871, 31744], range=[31744, 31999]
    Dim0 cross-check: TF_NLL=18.4452, nonTF_NLL=18.4451, diff=0.000059
    tf_ids.shape=torch.Size([1, 26]) (expected: (1, 26))
  D0 [1/175] skill=pick NLL=16.966 top1=0.8227 H=0.676
  D0 [2/175] skill=pick NLL=16.450 top1=0.3890 H=2.552
  D0 [3/175] skill=open NLL=13.954 top1=0.1161 H=4.521
  D0 [4/175] skill=close NLL=16.918 top1=0.9761 H=0.139
  D0 [5/175] skill=close NLL=18.959 top1=0.9918 H=0.076
  D0 [6/175] skill=close NLL=16.762 top1=0.9895 H=0.078
  D0 [7/175] skill=turn NLL=16.553 top1=0.6674 H=1.187
  D0 [8/175] skill=open NLL=15.218 top1=0.7936 H=1.444
  D0 [9/175] skill=open NLL=15.043 top1=0.9972 H=0.026
  D0 [10/175] skill=place NLL=17.497 top1=0.9517 H=0.275
  D0 [11/175] skill=place NLL=15.919 top1=0.4189 H=2.622
  D0 [12/175] skill=turn NLL=15.412 top1=0.9487 H=0.437
  D0 [13/175] skill=pick NLL=16.443 top1=0.5988 H=2.166
  D0 [14/175] skill=close NLL=13.178 top1=0.4897 H=3.089
  D0 [15/175] skill=turn NLL=17.638 top1=0.9741 H=0.211
  D0 [16/175] skill=turn NLL=16.168 top1=0.4498 H=1.609
  D0 [17/175] skill=move NLL=15.343 top1=0.6485 H=2.674
  D0 [18/175] skill=turn NLL=18.032 top1=0.4568 H=2.166
  D0 [19/175] skill=turn NLL=17.735 top1=0.4152 H=1.898
  D0 [20/175] skill=move NLL=18.591 top1=0.3422 H=2.472
  D0 [21/175] skill=open NLL=15.971 top1=0.8800 H=0.554
  D0 [22/175] skill=move NLL=16.865 top1=0.4869 H=1.634
  D0 [23/175] skill=move NLL=15.498 top1=0.6106 H=2.272
  D0 [24/175] skill=fold NLL=16.596 top1=0.3641 H=2.067
  D0 [25/175] skill=open NLL=14.256 top1=0.9974 H=0.019
  D0 [26/175] skill=open NLL=19.613 top1=0.9988 H=0.011
  D0 [27/175] skill=close NLL=17.307 top1=0.9989 H=0.011
  D0 [28/175] skill=open NLL=12.723 top1=0.4894 H=1.953
  D0 [29/175] skill=open NLL=17.582 top1=0.4477 H=2.742
  D0 [30/175] skill=move NLL=16.576 top1=0.4503 H=2.176
  D0 [31/175] skill=place NLL=15.235 top1=0.9298 H=0.383
  D0 [32/175] skill=place NLL=15.432 top1=0.8304 H=0.748
  D0 [33/175] skill=move NLL=17.143 top1=0.1764 H=3.162
  D0 [34/175] skill=place NLL=16.989 top1=0.7173 H=1.457
  D0 [35/175] skill=move NLL=16.196 top1=0.8048 H=1.049
  D0 [36/175] skill=close NLL=15.167 top1=0.8743 H=0.956
  D0 [37/175] skill=close NLL=14.755 top1=0.7883 H=1.371
  D0 [38/175] skill=close NLL=16.653 top1=0.9979 H=0.017
  D0 [39/175] skill=move NLL=17.685 top1=0.7916 H=1.544
  D0 [40/175] skill=pick NLL=17.553 top1=0.1991 H=2.747
  D0 [41/175] skill=place NLL=18.469 top1=0.9626 H=0.234
  D0 [42/175] skill=place NLL=16.053 top1=0.1913 H=4.548
  D0 [43/175] skill=fold NLL=17.655 top1=0.3028 H=2.919
  D0 [44/175] skill=place NLL=15.597 top1=0.4444 H=3.109
  D0 [45/175] skill=fold NLL=16.919 top1=0.7880 H=0.903
  D0 [46/175] skill=close NLL=14.398 top1=0.9970 H=0.024
  D0 [47/175] skill=turn NLL=17.653 top1=0.3051 H=3.580
  D0 [48/175] skill=turn NLL=16.539 top1=0.5096 H=2.402
  D0 [49/175] skill=place NLL=18.377 top1=0.5613 H=1.008
  D0 [50/175] skill=open NLL=16.824 top1=0.9998 H=0.003
  D0 [51/175] skill=open NLL=20.379 top1=0.9983 H=0.015
  D0 [52/175] skill=move NLL=15.650 top1=0.5464 H=2.569
  D0 [53/175] skill=close NLL=13.304 top1=0.9575 H=0.387
  D0 [54/175] skill=place NLL=16.387 top1=0.9808 H=0.114
  D0 [55/175] skill=turn NLL=18.668 top1=0.8255 H=0.921
  D0 [56/175] skill=fold NLL=18.948 top1=0.9942 H=0.055
  D0 [57/175] skill=fold NLL=16.968 top1=0.3716 H=2.238
  D0 [58/175] skill=fold NLL=15.459 top1=0.8893 H=0.608
  D0 [59/175] skill=open NLL=19.180 top1=0.9850 H=0.129
  D0 [60/175] skill=turn NLL=14.187 top1=0.4601 H=3.269
  D0 [61/175] skill=fold NLL=17.063 top1=0.2449 H=4.380
  D0 [62/175] skill=fold NLL=18.601 top1=0.9913 H=0.076
  D0 [63/175] skill=open NLL=16.183 top1=0.9965 H=0.027
  D0 [64/175] skill=open NLL=14.880 top1=0.9801 H=0.129
  D0 [65/175] skill=pick NLL=16.900 top1=0.7845 H=1.401
  D0 [66/175] skill=open NLL=16.302 top1=0.9954 H=0.036
  D0 [67/175] skill=place NLL=19.041 top1=0.9491 H=0.293
  D0 [68/175] skill=open NLL=16.996 top1=0.1086 H=5.060
  D0 [69/175] skill=close NLL=17.033 top1=0.5301 H=1.874
  D0 [70/175] skill=fold NLL=14.835 top1=0.4866 H=2.649
  D0 [71/175] skill=fold NLL=16.627 top1=0.9998 H=0.003
  D0 [72/175] skill=close NLL=16.227 top1=0.9977 H=0.020
