Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
/home/kana5123/miniconda3/envs/interp/lib/python3.10/site-packages/transformers/models/auto/modeling_auto.py:2284: FutureWarning: The class `AutoModelForVision2Seq` is deprecated and will be removed in v5.0. Please use `AutoModelForImageTextToText` instead.
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
Expected `transformers==4.40.1` and `tokenizers==0.19.1` but got `transformers==4.57.6` and `tokenizers==0.22.2`; there might be inference-time regressions due to dependency changes. If in doubt, pleaseuse the above versions.
Loading model from registry: openvla-7b (openvla/openvla-7b)
  Architecture: llama, Auto class: AutoModelForVision2Seq
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:00,  3.59it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:00<00:00, 10.06it/s]
  Loaded: 32L x 32H, hidden=4096, dtype=bfloat16
  Layers path: language_model.model.layers
Model loaded successfully.
    Decoded action tokens: ['論', '論', '⥤', 'Έ', 'ರ', '論', '忠']
    Token mapping sanity: gt_token_ids=[31871, 31871, 31899, 31873, 31861, 31871, 31744], range=[31744, 31999]
    Dim0 cross-check: TF_NLL=6.7943, nonTF_NLL=6.9160, diff=0.121722
    WARNING: Dim0 cross-check diff=0.1217 > 0.01 (tolerated for llama in-place input mutation)
    tf_ids.shape=torch.Size([1, 26]) (expected: (1, 26))
  D0 [1/175] skill=pick NLL=8.490 top1=0.4811 H=1.373
  D0 [2/175] skill=pick NLL=6.143 top1=0.7606 H=1.313
  D0 [3/175] skill=open NLL=8.976 top1=0.5133 H=1.479
  D0 [4/175] skill=close NLL=6.537 top1=0.9611 H=0.283
  D0 [5/175] skill=close NLL=8.759 top1=0.5266 H=0.996
  D0 [6/175] skill=close NLL=8.313 top1=0.8489 H=0.649
  D0 [7/175] skill=turn NLL=6.797 top1=0.2793 H=2.618
  D0 [8/175] skill=open NLL=9.986 top1=0.4519 H=3.592
  D0 [9/175] skill=open NLL=8.466 top1=0.2548 H=1.954
  D0 [10/175] skill=place NLL=6.130 top1=0.3044 H=2.402
  D0 [11/175] skill=place NLL=5.236 top1=0.9132 H=0.540
  D0 [12/175] skill=turn NLL=7.494 top1=0.2418 H=2.857
  D0 [13/175] skill=pick NLL=13.154 top1=0.8982 H=0.582
  D0 [14/175] skill=close NLL=8.126 top1=0.7419 H=0.944
  D0 [15/175] skill=turn NLL=5.854 top1=0.3260 H=1.883
  D0 [16/175] skill=turn NLL=8.432 top1=0.6284 H=1.413
  D0 [17/175] skill=move NLL=10.043 top1=0.2419 H=2.794
  D0 [18/175] skill=turn NLL=10.853 top1=0.5688 H=1.554
  D0 [19/175] skill=turn NLL=12.844 top1=0.9528 H=0.277
  D0 [20/175] skill=move NLL=9.271 top1=0.3437 H=1.818
  D0 [21/175] skill=open NLL=8.192 top1=0.1479 H=2.900
  D0 [22/175] skill=move NLL=5.981 top1=0.4103 H=1.978
  D0 [23/175] skill=move NLL=9.050 top1=0.7075 H=1.001
  D0 [24/175] skill=fold NLL=6.440 top1=0.3186 H=2.150
  D0 [25/175] skill=open NLL=7.019 top1=0.5950 H=1.828
  D0 [26/175] skill=open NLL=11.601 top1=0.9845 H=0.113
  D0 [27/175] skill=close NLL=10.690 top1=0.4658 H=1.722
  D0 [28/175] skill=open NLL=9.242 top1=0.2382 H=2.687
  D0 [29/175] skill=open NLL=12.627 top1=0.9998 H=0.003
  D0 [30/175] skill=move NLL=8.510 top1=0.5512 H=1.220
  D0 [31/175] skill=place NLL=11.319 top1=0.7532 H=1.066
  D0 [32/175] skill=place NLL=10.094 top1=0.3703 H=1.740
  D0 [33/175] skill=move NLL=9.335 top1=0.8418 H=0.912
  D0 [34/175] skill=place NLL=12.027 top1=0.7134 H=1.407
  D0 [35/175] skill=move NLL=9.346 top1=0.3002 H=2.659
  D0 [36/175] skill=close NLL=5.106 top1=0.5179 H=1.433
  D0 [37/175] skill=close NLL=12.781 top1=0.5192 H=1.785
  D0 [38/175] skill=close NLL=10.646 top1=0.3692 H=2.107
  D0 [39/175] skill=move NLL=9.211 top1=0.1834 H=2.948
  D0 [40/175] skill=pick NLL=7.498 top1=0.6634 H=1.240
  D0 [41/175] skill=place NLL=8.131 top1=0.9860 H=0.096
  D0 [42/175] skill=place NLL=8.424 top1=0.3465 H=2.412
  D0 [43/175] skill=fold NLL=7.163 top1=0.7872 H=0.642
  D0 [44/175] skill=place NLL=11.368 top1=0.7726 H=1.200
  D0 [45/175] skill=fold NLL=7.804 top1=0.1733 H=2.851
  D0 [46/175] skill=close NLL=12.556 top1=0.1566 H=2.736
  D0 [47/175] skill=turn NLL=8.045 top1=0.7990 H=0.857
  D0 [48/175] skill=turn NLL=5.151 top1=0.3927 H=2.155
  D0 [49/175] skill=place NLL=6.565 top1=0.3222 H=2.137
  D0 [50/175] skill=open NLL=8.848 top1=0.3671 H=2.297
  D0 [51/175] skill=open NLL=7.607 top1=0.5851 H=1.662
  D0 [52/175] skill=move NLL=9.648 top1=0.4267 H=2.344
  D0 [53/175] skill=close NLL=13.199 top1=0.3501 H=2.220
  D0 [54/175] skill=place NLL=11.922 top1=0.4459 H=1.860
  D0 [55/175] skill=turn NLL=6.324 top1=0.2972 H=2.441
  D0 [56/175] skill=fold NLL=4.801 top1=0.2925 H=2.157
  D0 [57/175] skill=fold NLL=8.878 top1=0.8579 H=0.671
  D0 [58/175] skill=fold NLL=8.902 top1=0.5358 H=1.500
  D0 [59/175] skill=open NLL=10.354 top1=0.9451 H=0.340
  D0 [60/175] skill=turn NLL=9.180 top1=0.4838 H=1.861
  D0 [61/175] skill=fold NLL=10.459 top1=0.1400 H=2.859
  D0 [62/175] skill=fold NLL=9.574 top1=0.2150 H=2.363
  D0 [63/175] skill=open NLL=10.904 top1=0.4007 H=2.142
  D0 [64/175] skill=open NLL=11.861 top1=0.8062 H=0.706
  D0 [65/175] skill=pick NLL=9.802 top1=0.7388 H=1.390
  D0 [66/175] skill=open NLL=8.284 top1=0.5935 H=1.475
  D0 [67/175] skill=place NLL=9.216 top1=0.5122 H=1.725
  D0 [68/175] skill=open NLL=5.224 top1=0.4302 H=1.793
  D0 [69/175] skill=close NLL=12.426 top1=0.5360 H=2.121
