Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
`torch_dtype` is deprecated! Use `dtype` instead!
Loading model from registry: spatialvla-4b (IPEC-COMMUNITY/spatialvla-4b-224-pt)
  Architecture: gemma2, Auto class: AutoModel
  Applied SpatialVLA monkey-patch: _validate_images_text_input_order
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  5.53it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  4.62it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  4.74it/s]
  Loaded: 26L x 8H, hidden=2304, dtype=bfloat16
  Layers path: language_model.model.layers
Model loaded successfully.
  D0 [1/175] skill=pick NLL=N/A top1=0.3084 H=3.561
  D0 [2/175] skill=pick NLL=N/A top1=0.2360 H=3.360
  D0 [3/175] skill=open NLL=N/A top1=0.2145 H=4.275
  D0 [4/175] skill=close NLL=N/A top1=0.1274 H=5.015
  D0 [5/175] skill=close NLL=N/A top1=0.6599 H=1.546
  D0 [6/175] skill=close NLL=N/A top1=0.1260 H=4.657
  D0 [7/175] skill=turn NLL=N/A top1=0.6971 H=2.076
  D0 [8/175] skill=open NLL=N/A top1=0.2554 H=2.998
  D0 [9/175] skill=open NLL=N/A top1=0.4546 H=3.086
  D0 [10/175] skill=place NLL=N/A top1=0.5074 H=2.936
  D0 [11/175] skill=place NLL=N/A top1=0.4812 H=2.623
  D0 [12/175] skill=turn NLL=N/A top1=0.1574 H=6.298
  D0 [13/175] skill=pick NLL=N/A top1=0.6302 H=1.974
  D0 [14/175] skill=close NLL=N/A top1=0.3208 H=3.814
  D0 [15/175] skill=turn NLL=N/A top1=0.2419 H=3.467
  D0 [16/175] skill=turn NLL=N/A top1=0.2268 H=4.154
  D0 [17/175] skill=move NLL=N/A top1=0.3323 H=3.838
  D0 [18/175] skill=turn NLL=N/A top1=0.4828 H=2.518
  D0 [19/175] skill=turn NLL=N/A top1=0.6999 H=1.767
  D0 [20/175] skill=move NLL=N/A top1=0.3598 H=3.210
  D0 [21/175] skill=open NLL=N/A top1=0.2609 H=3.633
  D0 [22/175] skill=move NLL=N/A top1=0.4660 H=3.039
  D0 [23/175] skill=move NLL=N/A top1=0.3188 H=3.278
  D0 [24/175] skill=fold NLL=N/A top1=0.1252 H=4.916
  D0 [25/175] skill=open NLL=N/A top1=0.3162 H=3.343
  D0 [26/175] skill=open NLL=N/A top1=0.2292 H=3.391
  D0 [27/175] skill=close NLL=N/A top1=0.4233 H=2.255
  D0 [28/175] skill=open NLL=N/A top1=0.1338 H=5.513
  D0 [29/175] skill=open NLL=N/A top1=0.2752 H=2.624
  D0 [30/175] skill=move NLL=N/A top1=0.2051 H=3.458
  D0 [31/175] skill=place NLL=N/A top1=0.3234 H=2.947
  D0 [32/175] skill=place NLL=N/A top1=0.1159 H=4.078
  D0 [33/175] skill=move NLL=N/A top1=0.4396 H=2.445
  D0 [34/175] skill=place NLL=N/A top1=0.4026 H=2.619
  D0 [35/175] skill=move NLL=N/A top1=0.3320 H=3.589
  D0 [36/175] skill=close NLL=N/A top1=0.3513 H=3.152
  D0 [37/175] skill=close NLL=N/A top1=0.3985 H=2.947
  D0 [38/175] skill=close NLL=N/A top1=0.4599 H=2.592
  D0 [39/175] skill=move NLL=N/A top1=0.2195 H=3.269
  D0 [40/175] skill=pick NLL=N/A top1=0.6298 H=2.157
  D0 [41/175] skill=place NLL=N/A top1=0.5767 H=2.424
  D0 [42/175] skill=place NLL=N/A top1=0.1954 H=3.299
  D0 [43/175] skill=fold NLL=N/A top1=0.7535 H=1.514
  D0 [44/175] skill=place NLL=N/A top1=0.3029 H=3.106
  D0 [45/175] skill=fold NLL=N/A top1=0.3512 H=4.887
  D0 [46/175] skill=close NLL=N/A top1=0.7559 H=1.462
  D0 [47/175] skill=turn NLL=N/A top1=0.0590 H=7.520
  D0 [48/175] skill=turn NLL=N/A top1=0.3632 H=4.747
  D0 [49/175] skill=place NLL=N/A top1=0.3319 H=2.721
  D0 [50/175] skill=open NLL=N/A top1=0.1270 H=5.008
  D0 [51/175] skill=open NLL=N/A top1=0.3388 H=4.581
  D0 [52/175] skill=move NLL=N/A top1=0.2534 H=4.515
  D0 [53/175] skill=close NLL=N/A top1=0.1924 H=3.639
