/home/kana5123/miniconda3/envs/interp/lib/python3.10/site-packages/transformers/models/auto/image_processing_auto.py:647: FutureWarning: The image_processor_class argument is deprecated and will be removed in v4.42. Please use `slow_image_processor_class`, or `fast_image_processor_class` instead
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
Loading model from registry: tracevla-phi3v (furonghuang-lab/tracevla_phi3v)
  Architecture: phi3_v, Auto class: AutoModelForCausalLM
  Applied TraceVLA transformers safety bypass
  Applied DynamicCache.get_usable_length compatibility patch
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 21.04it/s]
/home/kana5123/.cache/huggingface/modules/transformers_modules/furonghuang_hyphen_lab/tracevla_phi3v/b879e42622f075e2b2fae76aee899b818e666afd/image_embedding_phi3_v.py:189: UserWarning: Phi-3-V modifies `input_ids` in-place and the tokens indicating images will be removed after model forward. If your workflow requires multiple forward passes on the same `input_ids`, please make a copy of `input_ids` before passing it to the model.
  warnings.warn(
You are not running the flash-attention implementation, expect numerical differences.
  Loaded: 32L x 32H, hidden=3072, dtype=bfloat16
  Layers path: model.layers
Model loaded successfully.
    Decoded action tokens: ['微', '微', '바', 'Ġ', '타', '微', 'എ']
    Token mapping sanity: gt_token_ids=[31935, 31935, 31963, 31937, 31925, 31935, 31808], range=[31808, 32063]
    Dim0 cross-check: TF_NLL=15.0305, nonTF_NLL=15.2711, diff=0.240644
    WARNING: Dim0 cross-check diff=0.2406 > 0.01 (tolerated for phi3_v in-place input mutation)
    tf_ids.shape=torch.Size([1, 345]) (expected: (1, 345))
  D0 [1/175] skill=pick NLL=14.189 top1=0.7733 H=0.960
  D0 [2/175] skill=pick NLL=15.275 top1=0.7464 H=1.680
  D0 [3/175] skill=open NLL=16.055 top1=0.2019 H=5.920
  D0 [4/175] skill=close NLL=14.454 top1=0.9909 H=0.115
  D0 [5/175] skill=close NLL=16.784 top1=0.8133 H=0.529
  D0 [6/175] skill=close NLL=12.115 top1=0.3201 H=3.240
  D0 [7/175] skill=turn NLL=16.452 top1=0.2820 H=2.210
  D0 [8/175] skill=open NLL=15.630 top1=0.9979 H=0.020
  D0 [9/175] skill=open NLL=15.034 top1=0.5522 H=1.918
  D0 [10/175] skill=place NLL=15.774 top1=0.6264 H=2.109
  D0 [11/175] skill=place NLL=11.868 top1=0.3633 H=2.611
  D0 [12/175] skill=turn NLL=13.912 top1=0.3940 H=1.992
  D0 [13/175] skill=pick NLL=13.141 top1=0.5038 H=2.272
  D0 [14/175] skill=close NLL=14.026 top1=0.9982 H=0.022
  D0 [15/175] skill=turn NLL=12.600 top1=0.5209 H=1.893
  D0 [16/175] skill=turn NLL=13.385 top1=0.4105 H=1.837
  D0 [17/175] skill=move NLL=10.705 top1=0.6361 H=1.395
  D0 [18/175] skill=turn NLL=14.930 top1=0.4118 H=1.746
  D0 [19/175] skill=turn NLL=12.289 top1=0.2477 H=2.735
  D0 [20/175] skill=move NLL=12.277 top1=0.9606 H=0.279
  D0 [21/175] skill=open NLL=14.500 top1=0.6770 H=1.235
  D0 [22/175] skill=move NLL=14.788 top1=0.7599 H=1.382
  D0 [23/175] skill=move NLL=16.654 top1=0.8997 H=0.356
  D0 [24/175] skill=fold NLL=13.858 top1=0.6115 H=1.429
  D0 [25/175] skill=open NLL=13.237 top1=0.7181 H=1.562
  D0 [26/175] skill=open NLL=14.123 top1=0.5753 H=2.171
  D0 [27/175] skill=close NLL=15.589 top1=0.7102 H=1.265
  D0 [28/175] skill=open NLL=11.670 top1=0.1347 H=3.863
  D0 [29/175] skill=open NLL=13.774 top1=0.9102 H=0.504
  D0 [30/175] skill=move NLL=15.159 top1=0.5917 H=2.105
  D0 [31/175] skill=place NLL=16.320 top1=0.9419 H=0.328
  D0 [32/175] skill=place NLL=18.932 top1=0.5804 H=1.129
  D0 [33/175] skill=move NLL=14.447 top1=0.3460 H=2.199
  D0 [34/175] skill=place NLL=13.704 top1=0.6286 H=1.605
  D0 [35/175] skill=move NLL=17.425 top1=0.1127 H=6.020
  D0 [36/175] skill=close NLL=15.150 top1=0.9167 H=0.418
  D0 [37/175] skill=close NLL=14.602 top1=0.4967 H=2.072
  D0 [38/175] skill=close NLL=15.425 top1=0.1685 H=3.721
  D0 [39/175] skill=move NLL=16.053 top1=0.3321 H=2.757
  D0 [40/175] skill=pick NLL=16.264 top1=0.7717 H=0.855
  D0 [41/175] skill=place NLL=15.220 top1=0.6455 H=0.965
  D0 [42/175] skill=place NLL=15.821 top1=0.6067 H=1.276
  D0 [43/175] skill=fold NLL=14.090 top1=0.2691 H=4.136
  D0 [44/175] skill=place NLL=15.161 top1=0.5095 H=1.610
  D0 [45/175] skill=fold NLL=14.526 top1=0.2198 H=4.923
  D0 [46/175] skill=close NLL=14.625 top1=0.8236 H=0.961
  D0 [47/175] skill=turn NLL=12.090 top1=0.1470 H=5.307
  D0 [48/175] skill=turn NLL=14.574 top1=0.4065 H=2.474
  D0 [49/175] skill=place NLL=15.054 top1=0.8206 H=0.926
  D0 [50/175] skill=open NLL=13.448 top1=0.6004 H=1.778
  D0 [51/175] skill=open NLL=14.201 top1=0.4368 H=1.880
  D0 [52/175] skill=move NLL=13.019 top1=0.8034 H=0.590
  D0 [53/175] skill=close NLL=14.644 top1=0.9916 H=0.082
  D0 [54/175] skill=place NLL=16.410 top1=0.5993 H=1.232
  D0 [55/175] skill=turn NLL=13.512 top1=0.6215 H=1.426
  D0 [56/175] skill=fold NLL=10.171 top1=0.7821 H=1.099
  D0 [57/175] skill=fold NLL=15.173 top1=0.9668 H=0.212
  D0 [58/175] skill=fold NLL=16.847 top1=0.8793 H=0.646
  D0 [59/175] skill=open NLL=13.102 top1=0.2430 H=3.616
  D0 [60/175] skill=turn NLL=14.256 top1=0.1603 H=4.056
  D0 [61/175] skill=fold NLL=15.655 top1=0.9504 H=0.441
  D0 [62/175] skill=fold NLL=11.700 top1=0.4164 H=1.900
  D0 [63/175] skill=open NLL=14.068 top1=0.1727 H=4.910
  D0 [64/175] skill=open NLL=14.993 top1=0.9936 H=0.060
  D0 [65/175] skill=pick NLL=14.074 top1=0.4629 H=1.864
  D0 [66/175] skill=open NLL=17.325 top1=0.9261 H=0.349
  D0 [67/175] skill=place NLL=17.876 top1=0.6657 H=1.340
  D0 [68/175] skill=open NLL=14.707 top1=0.3009 H=2.186
  D0 [69/175] skill=close NLL=13.806 top1=0.3158 H=2.252
